SOCIÉTÉ IMMOBILIÈRE DU DÉPARTEMENT DE LA RÉUNION SOCIÉTÉ ANONYME D'ECONOMIE MIXTE (SEM) CRÉÉE EN APPLICATION DE L'ARTICLE 2 DE LA LOI DU 30.4.1946 AU CAPITAL DE 125 000 000 EUR — RCS ST DENIS N°74 B 118 — SIRET :310 863 592 00013	SOCIÉTÉ IMMOBILIÈRE DU DÉPARTEMENT DE LA RÉUNION SOCIÉTÉ ANONYME D'ÉCONOMIE MIXTE (SEM) CRÉÉE EN APPLICATION DE L'ARTICLE 2 DE LA LOI DU 30.4.1946 AU CAPITAL DE 125 000 000 EUR — RCS ST DENIS N°74 B 118 — SIRET :310 863 592 00013	100
PARIS TERRES D'ENVOL	PARIS, TERRES D'ENVOL	98
COMMUNE DE PLAISANCE-DU-TOUCH	COMMUNE DE PLAISANCE DU TOUCH	100
INSTITUT ROBERT MERLE D'AUBIGNE	INSTITUT ROBERT MERLE D'AUBIGNÉ	98
MAIRIE DE TREMBLAY EN FRANCE	MAIRIE DE TREMBLAY-EN-FRANCE	100
UNIVERSITÉ ÉVRY VAL D'ESSONNE	UNIVERSITÉ ÉVRY-VAL-D'ESSONNE	100
COMMUNAUTÉ D’AGGLOMÉRATION DU PAYS DE MEAUX	COMMUNAUTÉ D'AGGLOMÉRATION DU PAYS DE MEAUX	100
COMMUNAUTÉ DE COMMUNES BRESLE MARITIME	COMMUNAUTÉ DE COMMUNES BRESLE-MARITIME	100
UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE	UNIVERSITÉ PARIS 1 — PANTHÉON-SORBONNE	97
BLANGY-PONT L'ÉVÊQUE INTERCOM	BLANGY PONT-L'ÉVÊQUE INTERCOM	100
LA CRÉOLE-COMPAGNIE RÉUNIONNAISE EAUX	LA CREOLE-COMPAGNIE RÉUNIONNAISE EAUX	99
OPH ÉMERAUDE HABITATION	OPH EMERAUDE HABITATION	98
CTÉ D'AGGLO. DE PAU PYRÉNÉES	CTÉ D'AGGLO DE PAU PYRÉNÉES	98
RÉGION NORD PAS-DE-CALAIS — PICARDIE	RÉGION NORD-PAS-DE-CALAIS - PICARDIE	100
